frequency (MHz)  ; fluoresence (counts/s)
2.4821525 ; 189.0000000 
2.6673341 ; 174.0000000 
2.8655405 ; 196.0000000 
3.0833178 ; 179.0000000 
3.2854881 ; 179.0000000 
3.4781876 ; 196.0000000 
3.6972871 ; 196.0000000 
3.8911457 ; 163.0000000 
4.0854945 ; 171.0000000 
4.2845063 ; 152.0000000 
4.4881744 ; 160.0000000 
4.6818419 ; 164.0000000 
4.9104133 ; 160.0000000 
5.0955338 ; 145.0000000 
5.3020239 ; 166.0000000 
5.5051098 ; 129.0000000 
5.7036834 ; 146.0000000 
5.8999047 ; 130.0000000 
6.0841088 ; 127.0000000 
6.2927217 ; 127.0000000 
6.4954972 ; 123.0000000 
6.6964555 ; 100.0000000 
6.9004016 ; 116.0000000 
7.0904360 ; 128.0000000 
7.2973866 ; 109.0000000 
7.5182428 ; 116.0000000 
7.6969147 ; 128.0000000 
7.9111896 ; 115.0000000 
8.1062303 ; 121.0000000 
8.3095036 ; 114.0000000 
8.5055628 ; 105.0000000 
8.7209215 ; 111.0000000 
8.9086251 ; 81.0000000 
9.1085744 ; 95.0000000 
9.3086667 ; 106.0000000 
9.5133586 ; 107.0000000 
9.7233458 ; 107.0000000 
9.9218693 ; 88.0000000 
10.1077242 ; 105.0000000 
10.3218403 ; 117.0000000 
10.5152411 ; 95.0000000 
10.7162991 ; 111.0000000 
10.9289088 ; 97.0000000 
11.1167846 ; 80.0000000 
11.3278980 ; 98.0000000 
11.5323763 ; 96.0000000 
11.7388148 ; 80.0000000 
11.9199700 ; 84.0000000 
11.9192080 ; 85.0000000 
11.7191105 ; 87.0000000 
11.5425596 ; 99.0000000 
11.3163610 ; 75.0000000 
11.1340246 ; 99.0000000 
10.9337883 ; 91.0000000 
10.7163634 ; 101.0000000 
10.5354786 ; 92.0000000 
10.3383541 ; 112.0000000 
10.1269236 ; 118.0000000 
9.9387040 ; 114.0000000 
9.7234797 ; 132.0000000 
9.5205774 ; 93.0000000 
9.3314729 ; 102.0000000 
9.1329546 ; 98.0000000 
8.9408698 ; 139.0000000 
8.7182336 ; 92.0000000 
8.5471115 ; 96.0000000 
8.3063321 ; 105.0000000 
8.1215782 ; 98.0000000 
7.9277916 ; 124.0000000 
7.7098141 ; 95.0000000 
7.5131173 ; 120.0000000 
7.3285308 ; 95.0000000 
7.1287985 ; 140.0000000 
6.9163499 ; 108.0000000 
6.7179632 ; 143.0000000 
6.5223327 ; 148.0000000 
6.2964072 ; 119.0000000 
6.1185484 ; 139.0000000 
5.9079838 ; 108.0000000 
5.7150416 ; 125.0000000 
5.5027804 ; 119.0000000 
5.3198514 ; 126.0000000 
5.1074853 ; 146.0000000 
4.8982100 ; 146.0000000 
4.7001662 ; 146.0000000 
4.4929504 ; 129.0000000 
4.2929749 ; 151.0000000 
4.1132607 ; 152.0000000 
3.8961697 ; 182.0000000 
3.6957526 ; 149.0000000 
3.5008173 ; 161.0000000 
3.2942724 ; 170.0000000 
3.1169081 ; 181.0000000 
2.9014397 ; 184.0000000 
2.6966381 ; 161.0000000 
2.4894261 ; 182.0000000 
2.3002377 ; 224.0000000 
2.0904455 ; 204.0000000 
1.8884587 ; 189.0000000 
1.7007709 ; 219.0000000 
1.5009675 ; 243.0000000 
1.2990298 ; 220.0000000 
1.0977964 ; 249.0000000 
0.8944640 ; 270.0000000 
0.6948533 ; 319.0000000 
0.4884672 ; 394.0000000 
0.2796068 ; 461.0000000 
0.0997820 ; 527.0000000 
-0.1124125 ; 504.0000000 
-0.3102303 ; 501.0000000 
-0.5210743 ; 413.0000000 
-0.7296805 ; 354.0000000 
-0.9294028 ; 294.0000000 
-1.1241622 ; 263.0000000 
-1.3287444 ; 243.0000000 
-1.5393429 ; 217.0000000 
-1.7181525 ; 213.0000000 
-1.9142818 ; 208.0000000 
-2.1165643 ; 207.0000000 
-2.3267512 ; 198.0000000 
-2.5411563 ; 198.0000000 
-2.7180328 ; 183.0000000 
-2.9568853 ; 160.0000000 
