Time	CAG	GRAV	RES
57120.05088	388.77113	-0.42899	3.26735
57120.05284	374.74077	-0.42869	-10.49158
57120.05489	355.97164	-0.4292	-29.72164
57120.057	369.84843	-0.42786	-14.6462
57120.05896	366.17591	-0.4284	-18.80121
57120.06092	358.93182	-0.42809	-25.76805
57120.06296	360.65332	-0.42921	-25.05339
57120.06505	373.65257	-0.42955	-12.35473
57120.06701	400.79155	-0.43063	13.80964
57120.06897	385.36552	-0.43114	-2.06931
57120.07101	381.70472	-0.43315	-7.53291
57120.07309	402.13284	-0.43437	11.79691
57120.07506	399.89076	-0.43627	7.84703
57120.07704	404.20586	-0.43825	10.38319
57120.07907	389.75793	-0.44063	-6.20179
57120.08116	384.58562	-0.44284	-13.35943
57120.08312	379.70751	-0.44597	-21.05416
57120.08508	395.54832	-0.44817	-7.18753
57120.08712	392.07305	-0.4515	-13.65362
57120.08922	417.47454	-0.45453	9.03202
57120.09118	403.44757	-0.45788	-8.00932
57120.09317	403.63177	-0.46114	-10.74902
57120.09522	412.90997	-0.46497	-4.90991
57120.09734	393.44456	-0.46864	-27.68002
57120.09934	419.15495	-0.47291	-5.79863
57120.10129	437.20217	-0.47703	8.54658
57120.10334	436.82555	-0.48137	4.27326
57120.10545	443.32665	-0.48705	5.67164
57120.10742	435.95123	-0.49156	-5.75748
57120.10939	443.18209	-0.49733	-3.70779
57120.11142	463.18301	-0.5014	12.63892
57120.11351	442.56292	-0.50703	-13.03866
57120.11546	434.44103	-0.51257	-26.13687
57120.11742	447.60864	-0.51809	-17.93267
57120.11946	451.61819	-0.52414	-19.35572
57120.12155	456.62337	-0.53055	-20.1072
57120.1235	471.97798	-0.53581	-9.47476
57120.12546	468.51073	-0.54239	-18.85218
57120.12749	484.86476	-0.54864	-8.12017
57120.12958	473.61653	-0.55646	-26.38444
57120.13154	487.92637	-0.56343	-18.33592
57120.1335	528.55034	-0.56948	16.85287
57120.13553	498.21389	-0.57552	-18.91078
57120.13762	518.19213	-0.58301	-5.66287
57120.13958	541.47769	-0.59018	11.18112
57120.14153	518.6102	-0.59719	-17.98013
57120.14356	537.38452	-0.60547	-6.64253
57120.14564	543.56128	-0.61235	-6.64445
57120.14761	559.85754	-0.61954	3.18881
57120.14959	561.60873	-0.62732	-2.04995
57120.15162	561.53496	-0.63526	-9.25365
57120.1537	582.89472	-0.6439	4.34595
57120.15566	552.39554	-0.65049	-32.0729
57120.15761	607.01425	-0.65793	15.86246
57120.15965	557.01651	-0.66608	-41.45218
57120.16174	590.46591	-0.6742	-15.2973
57120.16369	594.90727	-0.68188	-17.75506
57120.16566	626.62157	-0.68908	7.48653
57120.16772	629.52525	-0.69692	3.35259
57120.16982	626.67739	-0.70555	-7.24945
57120.1718	642.54781	-0.71348	1.50045
57120.17376	651.26454	-0.72191	2.6478
57120.17579	637.07653	-0.72991	-18.72898
57120.17788	664.55155	-0.73804	1.43837
57120.17983	680.00568	-0.74596	9.7831
57120.18179	660.39113	-0.75345	-16.55804
57120.18382	674.05147	-0.76161	-10.2329
57120.18591	695.1014	-0.76957	3.67217
57120.18786	677.38998	-0.77669	-20.43246
57120.18983	701.76714	-0.7854	-3.87933
57120.19189	686.82579	-0.79293	-25.59199
57120.19399	680.66316	-0.80086	-38.87609
57120.19596	729.36112	-0.80761	3.76162
57120.19792	716.01615	-0.81503	-16.2482
57120.19995	744.78509	-0.82331	5.08211
57120.20204	726.8554	-0.83092	-19.68427
57120.204	731.30143	-0.8386	-22.13696
57120.20595	741.48862	-0.8448	-17.52127
57120.208	761.28656	-0.85147	-3.71154
57120.21011	757.58001	-0.85936	-14.50191
57120.21208	772.00873	-0.86573	-5.80176
57120.21406	767.10253	-0.87271	-16.9751
57120.21612	783.62692	-0.87891	-6.02002
57120.21821	781.45749	-0.88589	-14.45585
57120.22017	782.01882	-0.89219	-19.55194
57120.22213	799.51053	-0.89766	-6.9799
57120.22417	801.82907	-0.90327	-9.69868
57120.22626	795.36418	-0.90878	-21.11492
57120.22821	819.75679	-0.91473	-2.06579
57120.23017	822.8496	-0.92108	-4.67626
57120.23221	834.02195	-0.92564	2.39975
57120.2343	817.5312	-0.92975	-17.77971
57120.23627	793.0001	-0.93488	-46.92404
57120.23824	833.90775	-0.93902	-9.73423
57120.24027	843.0414	-0.94355	-4.66386
57120.24236	832.23288	-0.94664	-18.2483
57120.24431	847.01733	-0.95172	-8.02715
57120.24628	866.20071	-0.95474	8.43614
57120.24835	852.94128	-0.95862	-8.30317
57120.25045	865.4624	-0.96069	2.36007
57120.25241	862.09591	-0.96348	-3.51243
57120.25437	860.48351	-0.96604	-7.42726
57120.2564	874.43046	-0.96891	3.94267
57120.25849	863.87943	-0.97011	-7.68642
57120.26044	855.37776	-0.9712	-17.17118
57120.2624	845.96417	-0.97422	-29.29764
57120.26445	844.1757	-0.97494	-31.72579
57120.26656	868.15873	-0.97518	-7.96277
57120.26851	878.77355	-0.97628	1.66806
57120.27047	900.53434	-0.9769	22.87338
57120.27251	835.85148	-0.97644	-41.40282
57120.27462	881.46996	-0.97532	5.22437
57120.2766	832.10683	-0.97546	-44.26258
57120.27856	870.53849	-0.97534	-5.7224
57120.28061	872.20823	-0.97375	-2.62805
57120.29081	852.69869	-0.96257	-12.09849
57120.29277	842.81245	-0.96089	-20.4742
57120.29474	847.76433	-0.95715	-12.15626
57120.29681	846.77752	-0.95407	-10.37663
57120.2989	842.98595	-0.95101	-11.4211
57120.30085	878.88361	-0.94651	28.51784
57120.30281	814.93106	-0.94217	-31.53666
57120.30484	852.54984	-0.93725	10.49741
57120.30693	815.97509	-0.9316	-21.00316
57120.30889	801.16658	-0.92822	-32.7734
57120.31084	804.59509	-0.92155	-23.34895
57120.31288	826.27664	-0.9134	5.64603
57120.31497	801.35783	-0.90852	-14.88941
57120.31693	810.61534	-0.90329	-0.93369
57120.3189	780.39653	-0.89604	-24.6322
57120.32094	783.29701	-0.88755	-14.11084
57120.32303	767.97763	-0.87921	-21.9413
57120.32498	777.95193	-0.87267	-6.08651
57120.32694	749.11261	-0.86481	-27.86945
57120.32898	770.41211	-0.85709	0.36263
57120.3311	747.83065	-0.84645	-12.6542
57120.33306	753.75832	-0.83791	0.9421
57120.33504	747.63275	-0.82848	3.28604
57120.33712	726.10241	-0.81835	-9.14989
57120.33921	726.86455	-0.80964	-0.56374
57120.34118	701.20303	-0.79984	-17.41704
57120.34316	688.00519	-0.78853	-20.45587
57120.34522	676.21514	-0.7756	-20.63214
57120.34731	688.61138	-0.76579	0.57327
57120.34926	669.18843	-0.75442	-8.63518
57120.35122	652.8434	-0.74241	-14.19384
57120.35327	661.80069	-0.73095	5.05657
57120.35538	623.03481	-0.7181	-22.16625
57120.35733	622.29277	-0.70611	-12.13997
57120.35929	600.06999	-0.69651	-25.73607
57120.36132	580.20655	-0.67968	-30.48304
57120.36343	597.45255	-0.66807	-2.80968
57120.36543	548.47582	-0.65133	-36.75027
57120.36742	530.50849	-0.64067	-45.13808
57120.36946	556.1585	-0.6245	-4.9631
57120.37157	537.38745	-0.61115	-11.74107
57120.37358	505.85369	-0.59602	-29.68738
57120.37563	505.9388	-0.58033	-15.50348
57120.37768	484.34958	-0.56588	-24.11288
57120.37979	487.9021	-0.55053	-6.77451
57120.38788	429.50753	-0.48816	-9.14393
57120.38987	412.43948	-0.4711	-10.89115
57120.39183	404.97874	-0.45603	-4.81253
57120.39387	396.39476	-0.44007	0.93755
57120.39596	370.05903	-0.4219	-9.07866
57120.39792	372.29049	-0.40743	6.14765
57120.39987	341.335	-0.39147	-10.46776
57120.40191	333.89398	-0.3732	-1.49897
57120.404	303.94455	-0.35674	-16.66167
57120.40596	287.27035	-0.33784	-16.3581
57120.40792	282.34639	-0.3218	-6.87962
57120.40995	263.48811	-0.30506	-10.70082
57120.41205	237.29943	-0.2874	-21.02003
57120.41401	219.50671	-0.26846	-21.80072
57120.41597	221.94543	-0.25308	-5.54603
57120.418	196.01379	-0.23573	-15.89902
57120.42009	199.27202	-0.21599	5.09393
57120.42205	191.00293	-0.19902	12.07147
57120.42404	141.89775	-0.18038	-20.29376
57120.42609	135.66512	-0.16228	-10.2687
57120.4282	107.20593	-0.14353	-21.8837
57120.43016	77.37769	-0.12614	-36.09364
57120.43211	89.6105	-0.10689	-6.57117
57120.43415	85.43651	-0.09184	2.78025
57120.43623	59.93827	-0.07149	-4.44423
57120.43819	55.30711	-0.05517	5.58171
57120.44014	42.63163	-0.0363	9.85733
57120.44217	7.01858	-0.01842	-9.69078
57120.44426	-2.96928	0.00112	-2.12862
57120.44623	5.95939	0.01834	22.2701
57120.44821	-44.68632	0.03576	-12.72819
57120.45025	-49.57866	0.05238	-2.69145
57120.45234	-61.99813	0.07157	2.12656
57120.4543	-72.83811	0.08934	7.24574
57120.45626	-106.35121	0.1062	-11.1203
57120.45831	-115.17212	0.12371	-4.21908
57120.46042	-137.68023	0.14052	-11.62545
57120.46237	-176.13736	0.1568	-35.45401
57120.46433	-168.72855	0.17469	-11.97382
57120.46637	-172.24654	0.19318	1.11067
57120.46846	-214.57309	0.21109	-25.12963
57120.47042	-208.11321	0.22643	-4.89123
57120.4724	-233.75438	0.24375	-14.96921
57120.47444	-219.27432	0.26008	14.17952
